Test,Sample,statistic,p_value,note,U_statistic,p_adjusted
Kruskal-Wallis,1,10.384615384615387,0.015564397458593152,Test performed,,
Kruskal-Wallis,2,10.457746478873242,0.015050283675606374,Test performed,,
Kruskal-Wallis,3,10.42105263157895,0.015306118189062752,Test performed,,
Kruskal-Wallis,4,10.384615384615387,0.015564397458593152,Test performed,,
Kruskal-Wallis,5,9.790919952210283,0.020429614770690024,Test performed,,
Kruskal-Wallis,6,,,No variance,,
Kruskal-Wallis,7,10.42105263157895,0.015306118189062752,Test performed,,
Kruskal-Wallis,8,10.457746478873242,0.015050283675606374,Test performed,,
Kruskal-Wallis,9,10.42105263157895,0.015306118189062752,Test performed,,
Kruskal-Wallis,10,10.531914893617023,0.01454595557177031,Test performed,,
Mann-Whitney U,"(1, 'UIBK', 'UCC')",,0.1,,9.0,0.6000000000000001
Mann-Whitney U,"(1, 'UIBK', 'INRAE')",,0.1,,0.0,0.6000000000000001
Mann-Whitney U,"(1, 'UIBK', 'IMR')",,0.1,,9.0,0.6000000000000001
Mann-Whitney U,"(1, 'UCC', 'INRAE')",,0.1,,0.0,0.6000000000000001
Mann-Whitney U,"(1, 'UCC', 'IMR')",,0.1,,9.0,0.6000000000000001
Mann-Whitney U,"(1, 'INRAE', 'IMR')",,0.1,,9.0,0.6000000000000001
Mann-Whitney U,"(2, 'UIBK', 'UCC')",,0.07652250047505922,,9.0,0.45913500285035536
Mann-Whitney U,"(2, 'UIBK', 'INRAE')",,0.07219819770165753,,9.0,0.4331891862099452
Mann-Whitney U,"(2, 'UIBK', 'IMR')",,0.07652250047505922,,9.0,0.45913500285035536
Mann-Whitney U,"(2, 'UCC', 'INRAE')",,0.07652250047505922,,9.0,0.45913500285035536
Mann-Whitney U,"(2, 'UCC', 'IMR')",,0.1,,9.0,0.6000000000000001
Mann-Whitney U,"(2, 'INRAE', 'IMR')",,0.07652250047505922,,0.0,0.45913500285035536
Mann-Whitney U,"(3, 'UIBK', 'UCC')",,0.1,,0.0,0.6000000000000001
Mann-Whitney U,"(3, 'UIBK', 'INRAE')",,0.07652250047505922,,0.0,0.45913500285035536
Mann-Whitney U,"(3, 'UIBK', 'IMR')",,0.1,,0.0,0.6000000000000001
Mann-Whitney U,"(3, 'UCC', 'INRAE')",,0.07652250047505922,,9.0,0.45913500285035536
