Test,Sample,statistic,p_value,note,U_statistic,p_adjusted
Kruskal-Wallis,1,,,No variance,,
Kruskal-Wallis,2,10.384615384615387,0.015564397458593152,Test performed,,
Kruskal-Wallis,3,,,No variance,,
Kruskal-Wallis,4,,,No variance,,
Kruskal-Wallis,5,10.457746478873242,0.015050283675606374,Test performed,,
Kruskal-Wallis,6,10.42105263157895,0.015306118189062752,Test performed,,
Kruskal-Wallis,7,10.457746478873242,0.015050283675606374,Test performed,,
Kruskal-Wallis,8,10.457746478873242,0.015050283675606374,Test performed,,
Kruskal-Wallis,9,,,No variance,,
Kruskal-Wallis,10,10.457746478873242,0.015050283675606374,Test performed,,
Kruskal-Wallis,CON,,,No variance,,
Mann-Whitney U,"('2', 'IMR', 'INRAE')",,0.1,,9.0,0.6000000000000001
Mann-Whitney U,"('2', 'IMR', 'UCC')",,0.1,,0.0,0.6000000000000001
Mann-Whitney U,"('2', 'IMR', 'UIBK')",,0.1,,9.0,0.6000000000000001
Mann-Whitney U,"('2', 'INRAE', 'UCC')",,0.1,,0.0,0.6000000000000001
Mann-Whitney U,"('2', 'INRAE', 'UIBK')",,0.1,,0.0,0.6000000000000001
Mann-Whitney U,"('2', 'UCC', 'UIBK')",,0.1,,9.0,0.6000000000000001
Mann-Whitney U,"('5', 'IMR', 'INRAE')",,0.07219819770165753,,9.0,0.4331891862099452
Mann-Whitney U,"('5', 'IMR', 'UCC')",,0.07652250047505922,,0.0,0.45913500285035536
Mann-Whitney U,"('5', 'IMR', 'UIBK')",,0.07652250047505922,,9.0,0.45913500285035536
Mann-Whitney U,"('5', 'INRAE', 'UCC')",,0.07652250047505922,,0.0,0.45913500285035536
Mann-Whitney U,"('5', 'INRAE', 'UIBK')",,0.07652250047505922,,0.0,0.45913500285035536
Mann-Whitney U,"('5', 'UCC', 'UIBK')",,0.1,,9.0,0.6000000000000001
Mann-Whitney U,"('6', 'IMR', 'INRAE')",,0.1,,9.0,0.6000000000000001
Mann-Whitney U,"('6', 'IMR', 'UCC')",,0.07652250047505922,,0.0,0.45913500285035536
Mann-Whitney U,"('6', 'IMR', 'UIBK')",,0.1,,9.0,0.6000000000000001
Mann-Whitney U,"('6', 'INRAE', 'UCC')",,0.07652250047505922,,0.0,0.45913500285035536
Mann-Whitney U,"('6', 'INRAE', 'UIBK')",,0.1,,0.0,0.6000000000000001
Mann-Whitney U,"('6', 'UCC', 'UIBK')",,0.07652250047505922,,9.0,0.45913500285035536
Mann-Whitney U,"('7', 'IMR', 'INRAE')",,0.07652250047505922,,9.0,0.45913500285035536
Mann-Whitney U,"('7', 'IMR', 'UCC')",,0.07652250047505922,,9.0,0.45913500285035536
Mann-Whitney U,"('7', 'IMR', 'UIBK')",,0.07219819770165753,,9.0,0.4331891862099452
Mann-Whitney U,"('7', 'INRAE', 'UCC')",,0.1,,0.0,0.6000000000000001
Mann-Whitney U,"('7', 'INRAE', 'UIBK')",,0.07652250047505922,,0.0,0.45913500285035536
Mann-Whitney U,"('7', 'UCC', 'UIBK')",,0.07652250047505922,,9.0,0.45913500285035536
Mann-Whitney U,"('8', 'IMR', 'INRAE')",,0.07652250047505922,,9.0,0.45913500285035536
Mann-Whitney U,"('8', 'IMR', 'UCC')",,0.1,,9.0,0.6000000000000001
Mann-Whitney U,"('8', 'IMR', 'UIBK')",,0.07652250047505922,,9.0,0.45913500285035536
Mann-Whitney U,"('8', 'INRAE', 'UCC')",,0.07652250047505922,,0.0,0.45913500285035536
Mann-Whitney U,"('8', 'INRAE', 'UIBK')",,0.07219819770165753,,0.0,0.4331891862099452
Mann-Whitney U,"('8', 'UCC', 'UIBK')",,0.07652250047505922,,9.0,0.45913500285035536
Mann-Whitney U,"('10', 'IMR', 'INRAE')",,0.07652250047505922,,9.0,0.45913500285035536
Mann-Whitney U,"('10', 'IMR', 'UCC')",,0.07652250047505922,,0.0,0.45913500285035536
Mann-Whitney U,"('10', 'IMR', 'UIBK')",,0.07219819770165753,,9.0,0.4331891862099452
Mann-Whitney U,"('10', 'INRAE', 'UCC')",,0.1,,0.0,0.6000000000000001
Mann-Whitney U,"('10', 'INRAE', 'UIBK')",,0.07652250047505922,,0.0,0.45913500285035536
Mann-Whitney U,"('10', 'UCC', 'UIBK')",,0.07652250047505922,,9.0,0.45913500285035536
